Day,Weight,Upper Weight (Kilograms),Lower Weight (Kilograms),BF,Upper Body Fat %,Lower Body Fat %, BMI,FM, Fat Free Mass (Kilograms),Intake,Expenditure
1,136.8,136.8,136.8,54.2,54.2,54.2,42.2,74.2,62.6,8080,12674
2,136.3,136.4,136.3,54.3,54.3,54.3,42.1,74,62.3,8080,12604
3,136.1,136.2,136,54.3,54.4,54.3,42,73.9,62.1,8080,12548
4,135.9,136,135.8,54.3,54.4,54.3,41.9,73.8,62.1,8080,12500
5,135.8,135.9,135.6,54.3,54.3,54.3,41.9,73.7,62,8080,12457
6,135.6,135.8,135.5,54.3,54.3,54.2,41.9,73.6,62,8080,12416
7,135.5,135.7,135.3,54.2,54.3,54.2,41.8,73.5,62,8080,12378
8,135.4,135.6,135.2,54.2,54.3,54.2,41.8,73.4,62,8080,12342
9,135.3,135.5,135,54.2,54.3,54.1,41.8,73.3,62,8080,12309
10,135.2,135.4,134.9,54.2,54.2,54.1,41.7,73.2,62,8080,12277
11,135,135.4,134.7,54.1,54.2,54,41.7,73.1,61.9,8080,12247
12,134.9,135.3,134.6,54.1,54.2,54,41.6,73,61.9,8080,12219
13,134.8,135.2,134.4,54.1,54.2,54,41.6,72.9,61.9,8080,12193
14,134.7,135.1,134.3,54,54.1,53.9,41.6,72.8,61.9,8080,12168
15,134.6,135,134.1,54,54.1,53.9,41.5,72.7,61.9,8080,12145
16,134.5,134.9,134,54,54.1,53.9,41.5,72.6,61.9,8080,12122
17,134.3,134.8,133.8,54,54.1,53.8,41.5,72.5,61.9,8080,12101
18,134.2,134.8,133.7,53.9,54.1,53.8,41.4,72.4,61.8,8080,12081
19,134.1,134.7,133.6,53.9,54,53.8,41.4,72.3,61.8,8080,12063
20,134,134.6,133.4,53.9,54,53.7,41.4,72.2,61.8,8080,12045
21,133.9,134.5,133.3,53.8,54,53.7,41.3,72.1,61.8,8080,12028
22,133.8,134.4,133.1,53.8,54,53.7,41.3,72,61.8,8080,12012
23,133.7,134.3,133,53.8,54,53.6,41.3,71.9,61.8,8080,11996
24,133.6,134.3,132.9,53.8,53.9,53.6,41.2,71.8,61.8,8080,11982
25,133.5,134.2,132.7,53.7,53.9,53.6,41.2,71.7,61.7,8080,11968
26,133.3,134.1,132.6,53.7,53.9,53.5,41.2,71.6,61.7,8080,11954
27,133.2,134,132.4,53.7,53.9,53.5,41.1,71.5,61.7,8080,11942
28,133.1,133.9,132.3,53.7,53.9,53.4,41.1,71.4,61.7,8080,11930
29,133,133.9,132.2,53.6,53.8,53.4,41.1,71.3,61.7,8080,11918
30,132.9,133.8,132,53.6,53.8,53.4,41,71.2,61.7,8080,11907
31,132.8,133.7,131.9,53.6,53.8,53.3,41,71.1,61.7,8080,11896
32,132.7,133.6,131.8,53.5,53.8,53.3,41,71,61.6,8080,11886
33,132.6,133.5,131.6,53.5,53.8,53.3,40.9,71,61.6,8080,11876
34,132.5,133.5,131.5,53.5,53.7,53.2,40.9,70.9,61.6,8080,11866
35,132.4,133.4,131.4,53.5,53.7,53.2,40.9,70.8,61.6,8080,11857
36,132.3,133.3,131.2,53.4,53.7,53.2,40.8,70.7,61.6,8080,11848
37,132.2,133.2,131.1,53.4,53.7,53.1,40.8,70.6,61.6,8080,11839
38,132.1,133.2,131,53.4,53.7,53.1,40.8,70.5,61.6,8080,11831
39,131.9,133.1,130.8,53.4,53.6,53.1,40.7,70.4,61.6,8080,11823
40,131.8,133,130.7,53.3,53.6,53,40.7,70.3,61.5,8080,11815
41,131.7,132.9,130.6,53.3,53.6,53,40.7,70.2,61.5,8080,11807
42,131.6,132.8,130.4,53.3,53.6,53,40.6,70.1,61.5,8080,11800
43,131.5,132.8,130.3,53.2,53.6,52.9,40.6,70,61.5,8080,11793
44,131.4,132.7,130.2,53.2,53.5,52.9,40.6,69.9,61.5,8080,11786
45,131.3,132.6,130,53.2,53.5,52.9,40.5,69.8,61.5,8080,11779
46,131.2,132.5,129.9,53.2,53.5,52.8,40.5,69.8,61.5,8080,11772
47,131.1,132.5,129.8,53.1,53.5,52.8,40.5,69.7,61.4,8080,11765
48,131,132.4,129.6,53.1,53.5,52.7,40.4,69.6,61.4,8080,11759
49,130.9,132.3,129.5,53.1,53.4,52.7,40.4,69.5,61.4,8080,11753
50,130.8,132.2,129.4,53.1,53.4,52.7,40.4,69.4,61.4,8080,11746
51,130.7,132.2,129.2,53,53.4,52.6,40.3,69.3,61.4,8080,11740
52,130.6,132.1,129.1,53,53.4,52.6,40.3,69.2,61.4,8080,11734
53,130.5,132,129,53,53.4,52.6,40.3,69.1,61.4,8080,11728
54,130.4,131.9,128.8,52.9,53.3,52.5,40.2,69,61.3,8080,11723
55,130.3,131.9,128.7,52.9,53.3,52.5,40.2,68.9,61.3,8080,11717
56,130.2,131.8,128.6,52.9,53.3,52.5,40.2,68.9,61.3,8080,11711
57,130.1,131.7,128.4,52.9,53.3,52.4,40.1,68.8,61.3,8080,11706
58,130,131.6,128.3,52.8,53.3,52.4,40.1,68.7,61.3,8080,11700
59,129.9,131.6,128.2,52.8,53.3,52.4,40.1,68.6,61.3,8080,11695
60,129.8,131.5,128,52.8,53.2,52.3,40.1,68.5,61.3,8080,11689
61,129.7,131.4,127.9,52.8,53.2,52.3,40,68.4,61.3,8080,11684
62,129.6,131.3,127.8,52.7,53.2,52.3,40,68.3,61.2,8080,11679
63,129.5,131.3,127.7,52.7,53.2,52.2,40,68.2,61.2,8080,11673
64,129.4,131.2,127.5,52.7,53.2,52.2,39.9,68.1,61.2,8080,11668
65,129.3,131.1,127.4,52.7,53.1,52.2,39.9,68.1,61.2,8080,11663
66,129.2,131,127.3,52.6,53.1,52.1,39.9,68,61.2,8080,11658
67,129.1,131,127.1,52.6,53.1,52.1,39.8,67.9,61.2,8080,11653
68,129,130.9,127,52.6,53.1,52.1,39.8,67.8,61.2,8080,11648
69,128.9,130.8,126.9,52.5,53.1,52,39.8,67.7,61.1,8080,11643
70,128.8,130.7,126.8,52.5,53,52,39.7,67.6,61.1,8080,11638
71,128.6,130.7,126.6,52.5,53,51.9,39.7,67.5,61.1,8080,11633
72,128.5,130.6,126.5,52.5,53,51.9,39.7,67.4,61.1,8080,11628
73,128.4,130.5,126.4,52.4,53,51.9,39.6,67.4,61.1,8080,11623
74,128.3,130.4,126.2,52.4,53,51.8,39.6,67.3,61.1,8080,11618
75,128.2,130.4,126.1,52.4,52.9,51.8,39.6,67.2,61.1,8080,11613
76,128.1,130.3,126,52.4,52.9,51.8,39.6,67.1,61.1,8080,11609
77,128,130.2,125.9,52.3,52.9,51.7,39.5,67,61,8080,11604
78,127.9,130.2,125.7,52.3,52.9,51.7,39.5,66.9,61,8080,11599
79,127.8,130.1,125.6,52.3,52.9,51.7,39.5,66.8,61,8080,11594
80,127.7,130,125.5,52.3,52.8,51.6,39.4,66.7,61,8080,11590
81,127.6,129.9,125.4,52.2,52.8,51.6,39.4,66.7,61,8080,11585
82,127.5,129.9,125.2,52.2,52.8,51.6,39.4,66.6,61,8080,11580
83,127.4,129.8,125.1,52.2,52.8,51.5,39.3,66.5,61,8080,11575
84,127.3,129.7,125,52.1,52.8,51.5,39.3,66.4,60.9,8080,11571
85,127.2,129.6,124.8,52.1,52.8,51.5,39.3,66.3,60.9,8080,11566
86,127.2,129.6,124.7,52.1,52.7,51.4,39.2,66.2,60.9,8080,11561
87,127.1,129.5,124.6,52.1,52.7,51.4,39.2,66.1,60.9,8080,11557
88,127,129.4,124.5,52,52.7,51.4,39.2,66.1,60.9,8080,11552
89,126.9,129.4,124.3,52,52.7,51.3,39.2,66,60.9,8080,11548
90,126.8,129.3,124.2,52,52.7,51.3,39.1,65.9,60.9,8080,11543
91,126.7,129.2,124.1,52,52.6,51.3,39.1,65.8,60.9,8080,11538
92,126.6,129.1,124,51.9,52.6,51.2,39.1,65.7,60.8,8080,11534
93,126.5,129.1,123.8,51.9,52.6,51.2,39,65.6,60.8,8080,11529
94,126.4,129,123.7,51.9,52.6,51.1,39,65.6,60.8,8080,11525
95,126.3,128.9,123.6,51.9,52.6,51.1,39,65.5,60.8,8080,11520
96,126.2,128.9,123.5,51.8,52.5,51.1,38.9,65.4,60.8,8080,11516
97,126.1,128.8,123.3,51.8,52.5,51,38.9,65.3,60.8,8080,11511
98,126,128.7,123.2,51.8,52.5,51,38.9,65.2,60.8,8080,11506
99,125.9,128.6,123.1,51.7,52.5,51,38.8,65.1,60.7,8080,11502
100,125.8,128.6,123,51.7,52.5,50.9,38.8,65,60.7,8080,11497
101,125.7,128.5,122.8,51.7,52.5,50.9,38.8,65,60.7,8080,11493
102,125.6,128.4,122.7,51.7,52.4,50.9,38.8,64.9,60.7,8080,11488
103,125.5,128.4,122.6,51.6,52.4,50.8,38.7,64.8,60.7,8080,11484
104,125.4,128.3,122.5,51.6,52.4,50.8,38.7,64.7,60.7,8080,11479
105,125.3,128.2,122.4,51.6,52.4,50.8,38.7,64.6,60.7,8080,11475
106,125.2,128.1,122.2,51.6,52.4,50.7,38.6,64.5,60.6,8080,11470
107,125.1,128.1,122.1,51.5,52.3,50.7,38.6,64.5,60.6,8080,11466
108,125,128,122,51.5,52.3,50.7,38.6,64.4,60.6,8080,11461
109,124.9,127.9,121.9,51.5,52.3,50.6,38.6,64.3,60.6,8080,11457
110,124.8,127.9,121.7,51.4,52.3,50.6,38.5,64.2,60.6,8080,11453
111,124.7,127.8,121.6,51.4,52.3,50.5,38.5,64.1,60.6,8080,11448
112,124.6,127.7,121.5,51.4,52.2,50.5,38.5,64,60.6,8080,11444
113,124.5,127.7,121.4,51.4,52.2,50.5,38.4,64,60.6,8080,11439
114,124.4,127.6,121.2,51.3,52.2,50.4,38.4,63.9,60.5,8080,11435
115,124.3,127.5,121.1,51.3,52.2,50.4,38.4,63.8,60.5,8080,11430
116,124.2,127.4,121,51.3,52.2,50.4,38.3,63.7,60.5,8080,11426
117,124.1,127.4,120.9,51.3,52.2,50.3,38.3,63.6,60.5,8080,11421
118,124,127.3,120.8,51.2,52.1,50.3,38.3,63.6,60.5,8080,11417
119,123.9,127.2,120.6,51.2,52.1,50.3,38.3,63.5,60.5,8080,11413
120,123.9,127.2,120.5,51.2,52.1,50.2,38.2,63.4,60.5,8080,11408
121,123.8,127.1,120.4,51.2,52.1,50.2,38.2,63.3,60.4,8080,11404
122,123.7,127,120.3,51.1,52.1,50.2,38.2,63.2,60.4,8080,11399
123,123.6,127,120.2,51.1,52,50.1,38.1,63.1,60.4,8080,11395
124,123.5,126.9,120,51.1,52,50.1,38.1,63.1,60.4,8080,11391
125,123.4,126.8,119.9,51,52,50.1,38.1,63,60.4,8080,11386
126,123.3,126.8,119.8,51,52,50,38.1,62.9,60.4,8080,11382
127,123.2,126.7,119.7,51,52,50,38,62.8,60.4,8080,11378
128,123.1,126.6,119.6,51,51.9,49.9,38,62.7,60.4,8080,11373
129,123,126.6,119.4,50.9,51.9,49.9,38,62.7,60.3,8080,11369
130,122.9,126.5,119.3,50.9,51.9,49.9,37.9,62.6,60.3,8080,11364
131,122.8,126.4,119.2,50.9,51.9,49.8,37.9,62.5,60.3,8080,11360
132,122.7,126.3,119.1,50.9,51.9,49.8,37.9,62.4,60.3,8080,11356
133,122.6,126.3,119,50.8,51.9,49.8,37.8,62.3,60.3,8080,11351
134,122.5,126.2,118.8,50.8,51.8,49.7,37.8,62.3,60.3,8080,11347
135,122.4,126.1,118.7,50.8,51.8,49.7,37.8,62.2,60.3,8080,11343
136,122.3,126.1,118.6,50.8,51.8,49.7,37.8,62.1,60.2,8080,11338
137,122.3,126,118.5,50.7,51.8,49.6,37.7,62,60.2,8080,11334
138,122.2,125.9,118.4,50.7,51.8,49.6,37.7,61.9,60.2,8080,11330
139,122.1,125.9,118.2,50.7,51.7,49.6,37.7,61.9,60.2,8080,11325
140,122,125.8,118.1,50.7,51.7,49.5,37.6,61.8,60.2,8080,11321
141,121.9,125.7,118,50.6,51.7,49.5,37.6,61.7,60.2,8080,11317
142,121.8,125.7,117.9,50.6,51.7,49.5,37.6,61.6,60.2,8080,11312
143,121.7,125.6,117.8,50.6,51.7,49.4,37.6,61.5,60.2,8080,11308
144,121.6,125.5,117.6,50.5,51.7,49.4,37.5,61.5,60.1,8080,11304
145,121.5,125.5,117.5,50.5,51.6,49.3,37.5,61.4,60.1,8080,11300
146,121.4,125.4,117.4,50.5,51.6,49.3,37.5,61.3,60.1,8080,11295
147,121.3,125.3,117.3,50.5,51.6,49.3,37.4,61.2,60.1,8080,11291
148,121.2,125.3,117.2,50.4,51.6,49.2,37.4,61.1,60.1,8080,11287
149,121.1,125.2,117.1,50.4,51.6,49.2,37.4,61.1,60.1,8080,11282
150,121,125.1,116.9,50.4,51.5,49.2,37.4,61,60.1,8080,11278
